d0,d1,d2,d3,d4,d5,d6,t0,t1,t2,t3,t4,t5,t6,,,,,,,
4.41973014986286E-06,3.04039998866301E-06,2.92093319220773E-06,6.09950925323233E-06,1.87195706136131E-06,8.69668537739637E-06,9.00361311928516E-06,2022-06-24,2022-06-27,2022-06-28,2022-06-29,2022-06-30,2022-07-01,2022-07-04,,,,,,,
2.54337675920091E-06,1.84259252855605E-06,3.84736318892465E-06,6.14063853987589E-07,5.52622438498864E-06,5.84634689460031E-06,1.27604761479553E-05,2022-06-27,2022-06-28,2022-06-29,2022-06-30,2022-07-01,2022-07-04,2022-07-05,,,,,,,
1.54911476446543E-06,2.8727964507258E-06,1.58649293702262E-07,3.63849041584718E-06,3.85818521331249E-06,9.80000237760272E-06,2.21479347362058E-05,2022-06-28,2022-06-29,2022-06-30,2022-07-01,2022-07-04,2022-07-05,2022-07-06,,,,,,,
2.58240376838081E-06,3.62548400190227E-08,2.5820206472905E-06,2.61917102761808E-06,7.70955126960824E-06,1.90242017359404E-05,3.3483506106658E-05,2022-06-29,2022-06-30,2022-07-01,2022-07-04,2022-07-05,2022-07-06,2022-07-07,,,,,,,
5.91436255526361E-09,1.79173325975953E-06,1.51385679547651E-06,5.42996573060809E-06,1.52483134820973E-05,2.85349657878082E-05,3.66590241904777E-05,2022-06-30,2022-07-01,2022-07-04,2022-07-05,2022-07-06,2022-07-07,2022-07-08,,,,,,,
1.77720222893648E-06,1.48241358388652E-06,5.34378046013221E-06,1.50820035662584E-05,2.83017410007697E-05,3.64018040679429E-05,3.58276185039589E-05,2022-07-01,2022-07-04,2022-07-05,2022-07-06,2022-07-07,2022-07-08,2022-07-11,,,,,,,
1.261957326193E-06,4.36395730241147E-06,1.26852142765536E-05,2.44989777853372E-05,3.19726841377935E-05,3.15474266179286E-05,5.0339788311371E-05,2022-07-04,2022-07-05,2022-07-06,2022-07-07,2022-07-08,2022-07-11,2022-07-12,,,,,,,
4.03873333798566E-06,1.1384347886612E-05,2.18876901705306E-05,2.85414932967856E-05,2.80626841799861E-05,4.60247721554286E-05,5.721061384989E-05,2022-07-05,2022-07-06,2022-07-07,2022-07-08,2022-07-11,2022-07-12,2022-07-13,,,,,,,
1.04472834652206E-05,1.88623225219069E-05,2.35948275326694E-05,2.24618064204043E-05,3.86013001139052E-05,4.91085304696885E-05,6.40665570594834E-05,2022-07-06,2022-07-07,2022-07-08,2022-07-11,2022-07-12,2022-07-13,2022-07-14,,,,,,,
1.69358034876059E-05,1.86520640932388E-05,1.56827682220586E-05,2.82611676463151E-05,3.70848364517066E-05,5.05573926192771E-05,4.47347093148753E-05,2022-07-07,2022-07-08,2022-07-11,2022-07-12,2022-07-13,2022-07-14,2022-07-15,,,,,,,
1.62373304937182E-05,1.07307468590891E-05,1.8710931108723E-05,2.44942576641541E-05,3.53148250218371E-05,3.08203338059698E-05,1.88862753738308E-05,2022-07-08,2022-07-11,2022-07-12,2022-07-13,2022-07-14,2022-07-15,2022-07-18,,,,,,,
8.96091874502697E-06,1.33749442723374E-05,1.58487895909334E-05,2.33040310091415E-05,1.94445397403431E-05,1.04606773243534E-05,1.42289243607598E-05,2022-07-11,2022-07-12,2022-07-13,2022-07-14,2022-07-15,2022-07-18,2022-07-19,,,,,,,
1.18890777278668E-05,1.2148819790392E-05,1.68867806573658E-05,1.28320103023327E-05,5.6974945261691E-06,8.68789885033488E-06,3.75243836092686E-06,2022-07-12,2022-07-13,2022-07-14,2022-07-15,2022-07-18,2022-07-19,2022-07-20,,,,,,,
1.05311600329118E-05,1.25282897736057E-05,7.59660139793006E-06,2.05913006667843E-06,3.8909776236552E-06,9.76863830715157E-07,3.08337035903644E-06,2022-07-13,2022-07-14,2022-07-15,2022-07-18,2022-07-19,2022-07-20,2022-07-21,,,,,,,
1.09817293258985E-05,4.9321932140689E-06,4.33854110193402E-07,1.16123743709734E-06,5.13297493399363E-09,7.46108306026919E-07,4.47763789601726E-07,2022-07-14,2022-07-15,2022-07-18,2022-07-19,2022-07-20,2022-07-21,2022-07-22,,,,,,,
